freq,unit,category,sex,geo\TIME_PERIOD	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,RT_UNE,HRSTU,F,HU	: 	: 	: 	1.0 	0.9 b	0.5 u	0.6 u	0.7 bu	1.2 	0.8 	1.7 	1.9 b	1.6 	2.0 	2.0 	2.7 	2.9 	3.0 b	3.3 	3.0 	2.4 b	1.8 	1.3 	1.3 	1.2 b	1.2 	1.5 	1.4 b	1.1 	1.2 	1.2 
A,RT_UNE,HRSTU,F,IE	5.8 	4.3 	4.5 	4.1 	: 	1.8 	1.5 u	1.4 u	1.4 	2.0 	1.9 	2.0 b	2.1 	2.5 b	3.3 	6.1 	6.8 	6.9 b	6.9 	6.7 	6.2 b	5.1 	4.3 	3.6 b	3.4 	2.8 	3.7 	3.6 b	2.8 	2.7 	2.8 
A,RT_UNE,HRSTU,F,IS	: 	: 	: 	: 	: 	: u	: u	: u	: u	: bu	: u	: bu	: u	: u	: u	2.1 	1.9 	2.6 b	1.6 	2.8 	3.1 b	2.3 	1.4 	1.2 	1.3 	1.8 	2.7 b	3.2 b	1.9 	1.1 	1.4 
A,RT_UNE,HRSTU,F,IT	3.6 	4.5 	3.9 	4.1 	4.3 b	4.4 	3.6 	3.4 	3.5 	3.5 	3.0 b	3.8 b	3.2 	2.8 	3.1 	3.7 	3.9 	3.8 b	4.7 	5.5 	5.9 b	5.6 	5.4 	5.2 	4.9 b	4.6 	4.4 	4.1 b	3.5 	3.2 	2.9 
A,RT_UNE,HRSTU,F,LT	: 	: 	: 	: 	7.1 b	8.9 	7.8 b	4.2 	5.2 bu	4.5 u	4.9 u	3.0 bu	: u	1.7 u	2.4 u	3.6 	5.8 	4.5 b	4.5 	4.5 	3.7 b	3.5 	2.5 	2.5 	2.4 	2.4 	3.6 	3.4 b	3.0 	3.3 	3.5 
A,RT_UNE,HRSTU,F,LU	: u	: u	: u	: u	: 	: u	: u	: u	: u	2.3 bu	3.2 	2.8 b	2.5 u	2.6 b	2.4 u	3.2 b	2.9 	3.1 b	3.0 	2.9 	2.8 b	3.6 b	2.3 	2.3 	3.1 	2.7 	4.0 	3.7 b	3.0 	2.9 u	4.3 
A,RT_UNE,HRSTU,F,LV	: 	: 	: 	: 	4.0 b	3.3 	4.5 	: u	4.1 bu	: u	: u	3.3 b	3.0 	2.3 	2.9 	5.4 	7.9 	5.3 b	4.9 	5.3 	4.9 b	4.4 	3.5 	3.3 	2.8 	2.8 	3.8 	3.9 b	3.4 	2.9 	3.5 
A,RT_UNE,HRSTU,F,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.1 b	8.0 	7.1 	7.7 b	8.4 	9.4 	9.4 	7.9 	7.8 	10.8 	: 	: 	: 	: 
A,RT_UNE,HRSTU,F,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.2 	17.6 	18.0 	19.4 	20.1 	21.6 b	21.3 	22.2 	20.7 b	19.1 	17.9 	18.5 	16.7 	12.4 	12.5 	7.8 b	7.2 	5.7 	7.3 
A,RT_UNE,HRSTU,F,MT	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: bu	: bu	: u	: u	: u	2.0 u	: u	1.6 bu	1.8 u	1.8 u	2.1 bu	2.0 u	1.6 u	1.6 u	1.8 u	2.9 	2.7 	1.7 bu	2.4 	2.0 u	1.7 u
